Drug,Predicted_Score,Average_Rating,Review_Count,Disease
isotretinoin,239.32256,No ratings,0,dry eye disease
mirena,236.1649,No ratings,0,dry eye disease
implanon,229.18152,No ratings,0,dry eye disease
levonorgestrel,213.42216,No ratings,0,dry eye disease
ethinyl estradiol / levonorgestrel,204.9306,No ratings,0,dry eye disease
chantix,203.91086,No ratings,0,dry eye disease
ethinyl estradiol / norethindrone,201.89594,No ratings,0,dry eye disease
etonogestrel,293.0765,No ratings,0,atrophic vaginitis
varenicline,257.6818,No ratings,0,atrophic vaginitis
suprep bowel prep kit,234.81935,No ratings,0,atrophic vaginitis
isotretinoin,199.10228,No ratings,0,atrophic vaginitis
mirena,195.94464,No ratings,0,atrophic vaginitis
implanon,188.96124,No ratings,0,atrophic vaginitis
levonorgestrel,173.20189,No ratings,0,atrophic vaginitis
ethinyl estradiol / levonorgestrel,164.7566,No ratings,0,atrophic vaginitis
chantix,163.69058,No ratings,0,atrophic vaginitis
ethinyl estradiol / norethindrone,161.76573,No ratings,0,atrophic vaginitis
etonogestrel,245.75163,No ratings,0,crohn's disease
varenicline,210.35696,No ratings,0,crohn's disease
suprep bowel prep kit,187.49446,No ratings,0,crohn's disease
isotretinoin,151.7774,No ratings,0,crohn's disease
mirena,148.61977,No ratings,0,crohn's disease
implanon,141.63637,No ratings,0,crohn's disease
levonorgestrel,125.87701,No ratings,0,crohn's disease
ethinyl estradiol / levonorgestrel,117.38546,No ratings,0,crohn's disease
chantix,116.36571,No ratings,0,crohn's disease
ethinyl estradiol / norethindrone,114.35078,No ratings,0,crohn's disease
etonogestrel,324.8846,No ratings,0,eczema
varenicline,289.4899,No ratings,0,eczema
suprep bowel prep kit,266.62744,No ratings,0,eczema
isotretinoin,230.91039,No ratings,0,eczema
mirena,227.75273,No ratings,0,eczema
implanon,220.76936,No ratings,0,eczema
levonorgestrel,205.01,No ratings,0,eczema
ethinyl estradiol / levonorgestrel,196.51845,No ratings,0,eczema
chantix,195.49869,No ratings,0,eczema
ethinyl estradiol / norethindrone,193.48378,No ratings,0,eczema
etonogestrel,320.03046,No ratings,0,trigeminal neuralgia
varenicline,284.63577,No ratings,0,trigeminal neuralgia
suprep bowel prep kit,261.77332,No ratings,0,trigeminal neuralgia
isotretinoin,226.05626,No ratings,0,trigeminal neuralgia
mirena,222.8986,No ratings,0,trigeminal neuralgia
implanon,215.9152,No ratings,0,trigeminal neuralgia
levonorgestrel,200.15584,No ratings,0,trigeminal neuralgia
ethinyl estradiol / levonorgestrel,191.66432,No ratings,0,trigeminal neuralgia
chantix,190.64456,No ratings,0,trigeminal neuralgia
ethinyl estradiol / norethindrone,188.62962,No ratings,0,trigeminal neuralgia
etonogestrel,220.59279,No ratings,0,borderline personality disorde
varenicline,185.19809,No ratings,0,borderline personality disorde
suprep bowel prep kit,162.3356,No ratings,0,borderline personality disorde
isotretinoin,126.61854,No ratings,0,borderline personality disorde
mirena,123.460884,No ratings,0,borderline personality disorde
implanon,116.4775,No ratings,0,borderline personality disorde
levonorgestrel,100.718124,No ratings,0,borderline personality disorde
ethinyl estradiol / levonorgestrel,92.226585,No ratings,0,borderline personality disorde
chantix,91.20683,No ratings,0,borderline personality disorde
ethinyl estradiol / norethindrone,89.1919,No ratings,0,borderline personality disorde
etonogestrel,211.08311,No ratings,0,parkinson's disease
varenicline,175.68843,No ratings,0,parkinson's disease
suprep bowel prep kit,152.82597,No ratings,0,parkinson's disease
isotretinoin,117.108894,No ratings,0,parkinson's disease
mirena,113.95124,No ratings,0,parkinson's disease
implanon,106.96785,No ratings,0,parkinson's disease
levonorgestrel,91.20849,No ratings,0,parkinson's disease
ethinyl estradiol / levonorgestrel,82.95284,No ratings,0,parkinson's disease
chantix,81.69718,No ratings,0,parkinson's disease
ethinyl estradiol / norethindrone,79.96195,No ratings,0,parkinson's disease
etonogestrel,318.08435,No ratings,0,strep throat
varenicline,282.68964,No ratings,0,strep throat
suprep bowel prep kit,259.82715,No ratings,0,strep throat
isotretinoin,224.11009,No ratings,0,strep throat
mirena,220.95245,No ratings,0,strep throat
implanon,213.96906,No ratings,0,strep throat
levonorgestrel,198.2097,No ratings,0,strep throat
ethinyl estradiol / levonorgestrel,189.71815,No ratings,0,strep throat
chantix,188.6984,No ratings,0,strep throat
ethinyl estradiol / norethindrone,186.68347,No ratings,0,strep throat
etonogestrel,351.96857,No ratings,0,allergies
varenicline,316.57388,No ratings,0,allergies
suprep bowel prep kit,293.7114,No ratings,0,allergies
isotretinoin,257.99432,No ratings,0,allergies
mirena,254.8367,No ratings,0,allergies
implanon,247.85332,No ratings,0,allergies
levonorgestrel,232.09395,No ratings,0,allergies
ethinyl estradiol / levonorgestrel,223.6024,No ratings,0,allergies
chantix,222.58266,No ratings,0,allergies
ethinyl estradiol / norethindrone,220.56773,No ratings,0,allergies
etonogestrel,343.76514,No ratings,0,period pain
varenicline,308.3704,No ratings,0,period pain
suprep bowel prep kit,285.50793,No ratings,0,period pain
isotretinoin,249.79088,No ratings,0,period pain
mirena,246.63324,No ratings,0,period pain
implanon,239.64986,No ratings,0,period pain
levonorgestrel,223.89049,No ratings,0,period pain
ethinyl estradiol / levonorgestrel,215.39894,No ratings,0,period pain
chantix,214.37918,No ratings,0,period pain
ethinyl estradiol / norethindrone,212.36424,No ratings,0,period pain
etonogestrel,342.725,No ratings,0,hirsutism
varenicline,307.33032,No ratings,0,hirsutism
suprep bowel prep kit,284.46783,No ratings,0,hirsutism
isotretinoin,248.75081,No ratings,0,hirsutism
mirena,245.59315,No ratings,0,hirsutism
implanon,238.60976,No ratings,0,hirsutism
levonorgestrel,222.8504,No ratings,0,hirsutism
ethinyl estradiol / levonorgestrel,214.35886,No ratings,0,hirsutism
chantix,213.3391,No ratings,0,hirsutism
ethinyl estradiol / norethindrone,211.32417,No ratings,0,hirsutism
etonogestrel,348.2176,No ratings,0,prostate cance
varenicline,312.82288,No ratings,0,prostate cance
suprep bowel prep kit,289.96042,No ratings,0,prostate cance
isotretinoin,254.24335,No ratings,0,prostate cance
mirena,251.08571,No ratings,0,prostate cance
implanon,244.10234,No ratings,0,prostate cance
levonorgestrel,228.34296,No ratings,0,prostate cance
ethinyl estradiol / levonorgestrel,219.85141,No ratings,0,prostate cance
chantix,218.83165,No ratings,0,prostate cance
ethinyl estradiol / norethindrone,216.81673,No ratings,0,prostate cance
etonogestrel,253.98787,No ratings,0,cluster headaches
varenicline,218.59322,No ratings,0,cluster headaches
suprep bowel prep kit,195.73071,No ratings,0,cluster headaches
isotretinoin,160.01366,No ratings,0,cluster headaches
mirena,156.856,No ratings,0,cluster headaches
implanon,149.87262,No ratings,0,cluster headaches
levonorgestrel,134.11325,No ratings,0,cluster headaches
ethinyl estradiol / levonorgestrel,125.6217,No ratings,0,cluster headaches
chantix,124.60194,No ratings,0,cluster headaches
ethinyl estradiol / norethindrone,122.58701,No ratings,0,cluster headaches
etonogestrel,380.98737,No ratings,0,bacterial skin infection
varenicline,345.59268,No ratings,0,bacterial skin infection
suprep bowel prep kit,322.73022,No ratings,0,bacterial skin infection
isotretinoin,287.01315,No ratings,0,bacterial skin infection
mirena,283.85553,No ratings,0,bacterial skin infection
implanon,276.8721,No ratings,0,bacterial skin infection
levonorgestrel,261.11276,No ratings,0,bacterial skin infection
ethinyl estradiol / levonorgestrel,252.62122,No ratings,0,bacterial skin infection
chantix,251.60149,No ratings,0,bacterial skin infection
ethinyl estradiol / norethindrone,249.58653,No ratings,0,bacterial skin infection
etonogestrel,354.91888,No ratings,0,interstitial cystitis
varenicline,319.5242,No ratings,0,interstitial cystitis
suprep bowel prep kit,296.6617,No ratings,0,interstitial cystitis
isotretinoin,260.94464,No ratings,0,interstitial cystitis
mirena,257.787,No ratings,0,interstitial cystitis
implanon,250.80363,No ratings,0,interstitial cystitis
levonorgestrel,235.04427,No ratings,0,interstitial cystitis
ethinyl estradiol / levonorgestrel,226.55272,No ratings,0,interstitial cystitis
chantix,225.53296,No ratings,0,interstitial cystitis
ethinyl estradiol / norethindrone,223.51802,No ratings,0,interstitial cystitis
etonogestrel,255.57274,No ratings,0,"diabetes, type 1"
varenicline,220.17805,No ratings,0,"diabetes, type 1"
suprep bowel prep kit,197.31557,No ratings,0,"diabetes, type 1"
isotretinoin,161.5985,No ratings,0,"diabetes, type 1"
mirena,158.44086,No ratings,0,"diabetes, type 1"
implanon,151.45747,No ratings,0,"diabetes, type 1"
levonorgestrel,135.6981,No ratings,0,"diabetes, type 1"
ethinyl estradiol / levonorgestrel,127.20655,No ratings,0,"diabetes, type 1"
chantix,126.18679,No ratings,0,"diabetes, type 1"
ethinyl estradiol / norethindrone,124.17187,No ratings,0,"diabetes, type 1"
etonogestrel,383.69632,No ratings,0,keratosis
varenicline,348.30164,No ratings,0,keratosis
suprep bowel prep kit,325.43915,No ratings,0,keratosis
isotretinoin,289.7221,No ratings,0,keratosis
mirena,286.56442,No ratings,0,keratosis
implanon,279.58105,No ratings,0,keratosis
levonorgestrel,263.8217,No ratings,0,keratosis
ethinyl estradiol / levonorgestrel,255.33015,No ratings,0,keratosis
chantix,254.3104,No ratings,0,keratosis
ethinyl estradiol / norethindrone,252.29549,No ratings,0,keratosis
etonogestrel,270.5324,No ratings,0,copd
varenicline,235.13773,No ratings,0,copd
suprep bowel prep kit,212.27525,No ratings,0,copd
isotretinoin,176.55818,No ratings,0,copd
mirena,173.40053,No ratings,0,copd
implanon,166.41714,No ratings,0,copd
levonorgestrel,150.65778,No ratings,0,copd
ethinyl estradiol / levonorgestrel,142.16623,No ratings,0,copd
chantix,141.14647,No ratings,0,copd
ethinyl estradiol / norethindrone,139.13156,No ratings,0,copd
etonogestrel,326.3719,No ratings,0,"herpes simplex, suppression"
varenicline,290.9772,No ratings,0,"herpes simplex, suppression"
suprep bowel prep kit,268.11472,No ratings,0,"herpes simplex, suppression"
isotretinoin,232.39766,No ratings,0,"herpes simplex, suppression"
mirena,229.24,No ratings,0,"herpes simplex, suppression"
implanon,222.25664,No ratings,0,"herpes simplex, suppression"
levonorgestrel,206.49727,No ratings,0,"herpes simplex, suppression"
ethinyl estradiol / levonorgestrel,198.00572,No ratings,0,"herpes simplex, suppression"
chantix,196.98596,No ratings,0,"herpes simplex, suppression"
ethinyl estradiol / norethindrone,194.97104,No ratings,0,"herpes simplex, suppression"
etonogestrel,297.7702,No ratings,0,prevention of thromboembolism in atrial fibrillation
varenicline,262.3755,No ratings,0,prevention of thromboembolism in atrial fibrillation
suprep bowel prep kit,239.51302,No ratings,0,prevention of thromboembolism in atrial fibrillation
isotretinoin,203.79596,No ratings,0,prevention of thromboembolism in atrial fibrillation
mirena,200.63832,No ratings,0,prevention of thromboembolism in atrial fibrillation
implanon,193.65492,No ratings,0,prevention of thromboembolism in atrial fibrillation
levonorgestrel,177.89555,No ratings,0,prevention of thromboembolism in atrial fibrillation
ethinyl estradiol / levonorgestrel,169.404,No ratings,0,prevention of thromboembolism in atrial fibrillation
chantix,168.38426,No ratings,0,prevention of thromboembolism in atrial fibrillation
ethinyl estradiol / norethindrone,166.36934,No ratings,0,prevention of thromboembolism in atrial fibrillation
etonogestrel,296.0061,No ratings,0,postherpetic neuralgia
varenicline,260.6114,No ratings,0,postherpetic neuralgia
suprep bowel prep kit,237.74892,No ratings,0,postherpetic neuralgia
isotretinoin,202.03185,No ratings,0,postherpetic neuralgia
mirena,198.87419,No ratings,0,postherpetic neuralgia
implanon,191.89082,No ratings,0,postherpetic neuralgia
levonorgestrel,176.13144,No ratings,0,postherpetic neuralgia
ethinyl estradiol / levonorgestrel,167.63991,No ratings,0,postherpetic neuralgia
chantix,166.62016,No ratings,0,postherpetic neuralgia
ethinyl estradiol / norethindrone,164.60522,No ratings,0,postherpetic neuralgia
etonogestrel,319.17346,No ratings,0,"ulcerative colitis, active"
varenicline,283.77875,No ratings,0,"ulcerative colitis, active"
suprep bowel prep kit,260.9163,No ratings,0,"ulcerative colitis, active"
isotretinoin,225.19922,No ratings,0,"ulcerative colitis, active"
mirena,222.04158,No ratings,0,"ulcerative colitis, active"
implanon,215.05818,No ratings,0,"ulcerative colitis, active"
levonorgestrel,199.29883,No ratings,0,"ulcerative colitis, active"
ethinyl estradiol / levonorgestrel,190.80728,No ratings,0,"ulcerative colitis, active"
chantix,189.78752,No ratings,0,"ulcerative colitis, active"
ethinyl estradiol / norethindrone,187.77261,No ratings,0,"ulcerative colitis, active"
etonogestrel,305.96707,No ratings,0,diverticulitis
varenicline,270.5724,No ratings,0,diverticulitis
suprep bowel prep kit,247.70992,No ratings,0,diverticulitis
isotretinoin,211.99284,No ratings,0,diverticulitis
mirena,208.8352,No ratings,0,diverticulitis
implanon,201.85182,No ratings,0,diverticulitis
levonorgestrel,186.09245,No ratings,0,diverticulitis
ethinyl estradiol / levonorgestrel,177.60092,No ratings,0,diverticulitis
chantix,176.58115,No ratings,0,diverticulitis
ethinyl estradiol / norethindrone,174.56624,No ratings,0,diverticulitis
etonogestrel,327.23505,No ratings,0,urinary tract stones
varenicline,291.8404,No ratings,0,urinary tract stones
suprep bowel prep kit,268.9779,No ratings,0,urinary tract stones
isotretinoin,233.26083,No ratings,0,urinary tract stones
mirena,230.1032,No ratings,0,urinary tract stones
implanon,223.1198,No ratings,0,urinary tract stones
levonorgestrel,207.36043,No ratings,0,urinary tract stones
ethinyl estradiol / levonorgestrel,198.86888,No ratings,0,urinary tract stones
chantix,197.84914,No ratings,0,urinary tract stones
ethinyl estradiol / norethindrone,195.83421,No ratings,0,urinary tract stones
etonogestrel,274.6047,No ratings,0,arrhythmia
varenicline,239.21004,No ratings,0,arrhythmia
suprep bowel prep kit,216.34755,No ratings,0,arrhythmia
isotretinoin,180.63048,No ratings,0,arrhythmia
mirena,177.47282,No ratings,0,arrhythmia
implanon,170.48944,No ratings,0,arrhythmia
levonorgestrel,154.73009,No ratings,0,arrhythmia
ethinyl estradiol / levonorgestrel,146.23854,No ratings,0,arrhythmia
chantix,145.21878,No ratings,0,arrhythmia
ethinyl estradiol / norethindrone,143.20384,No ratings,0,arrhythmia
etonogestrel,283.59235,No ratings,0,edema
varenicline,248.19768,No ratings,0,edema
suprep bowel prep kit,225.33519,No ratings,0,edema
isotretinoin,189.61815,No ratings,0,edema
mirena,186.4605,No ratings,0,edema
implanon,179.47711,No ratings,0,edema
levonorgestrel,163.71773,No ratings,0,edema
ethinyl estradiol / levonorgestrel,155.2262,No ratings,0,edema
chantix,154.20644,No ratings,0,edema
ethinyl estradiol / norethindrone,152.19151,No ratings,0,edema
etonogestrel,317.1001,No ratings,0,sciatica
varenicline,281.7054,No ratings,0,sciatica
suprep bowel prep kit,258.8429,No ratings,0,sciatica
isotretinoin,223.12587,No ratings,0,sciatica
mirena,219.96822,No ratings,0,sciatica
implanon,212.98482,No ratings,0,sciatica
levonorgestrel,197.22548,No ratings,0,sciatica
ethinyl estradiol / levonorgestrel,188.73393,No ratings,0,sciatica
chantix,187.71417,No ratings,0,sciatica
ethinyl estradiol / norethindrone,185.69923,No ratings,0,sciatica
etonogestrel,305.94055,No ratings,0,non-small cell lung cance
varenicline,270.54587,No ratings,0,non-small cell lung cance
suprep bowel prep kit,247.6834,No ratings,0,non-small cell lung cance
isotretinoin,211.96632,No ratings,0,non-small cell lung cance
mirena,208.80867,No ratings,0,non-small cell lung cance
implanon,201.82529,No ratings,0,non-small cell lung cance
levonorgestrel,186.0659,No ratings,0,non-small cell lung cance
ethinyl estradiol / levonorgestrel,177.57439,No ratings,0,non-small cell lung cance
chantix,176.55463,No ratings,0,non-small cell lung cance
ethinyl estradiol / norethindrone,174.53969,No ratings,0,non-small cell lung cance
etonogestrel,303.2979,No ratings,0,human papilloma virus
varenicline,267.9032,No ratings,0,human papilloma virus
suprep bowel prep kit,245.04074,No ratings,0,human papilloma virus
isotretinoin,209.32368,No ratings,0,human papilloma virus
mirena,206.16603,No ratings,0,human papilloma virus
implanon,199.18265,No ratings,0,human papilloma virus
levonorgestrel,183.42328,No ratings,0,human papilloma virus
ethinyl estradiol / levonorgestrel,174.93172,No ratings,0,human papilloma virus
chantix,173.91197,No ratings,0,human papilloma virus
ethinyl estradiol / norethindrone,171.89705,No ratings,0,human papilloma virus
etonogestrel,366.15485,No ratings,0,nausea/vomiting of pregnancy
varenicline,330.76013,No ratings,0,nausea/vomiting of pregnancy
suprep bowel prep kit,307.89764,No ratings,0,nausea/vomiting of pregnancy
isotretinoin,272.1806,No ratings,0,nausea/vomiting of pregnancy
mirena,269.02295,No ratings,0,nausea/vomiting of pregnancy
implanon,262.03955,No ratings,0,nausea/vomiting of pregnancy
levonorgestrel,246.28023,No ratings,0,nausea/vomiting of pregnancy
ethinyl estradiol / levonorgestrel,237.78868,No ratings,0,nausea/vomiting of pregnancy
chantix,236.7689,No ratings,0,nausea/vomiting of pregnancy
ethinyl estradiol / norethindrone,234.754,No ratings,0,nausea/vomiting of pregnancy
etonogestrel,319.51874,No ratings,0,"hypothyroidism, after thyroid removal"
varenicline,284.12405,No ratings,0,"hypothyroidism, after thyroid removal"
suprep bowel prep kit,261.26157,No ratings,0,"hypothyroidism, after thyroid removal"
isotretinoin,225.54451,No ratings,0,"hypothyroidism, after thyroid removal"
mirena,222.38687,No ratings,0,"hypothyroidism, after thyroid removal"
implanon,215.40349,No ratings,0,"hypothyroidism, after thyroid removal"
levonorgestrel,199.64412,No ratings,0,"hypothyroidism, after thyroid removal"
ethinyl estradiol / levonorgestrel,191.15257,No ratings,0,"hypothyroidism, after thyroid removal"
chantix,190.13283,No ratings,0,"hypothyroidism, after thyroid removal"
ethinyl estradiol / norethindrone,188.11789,No ratings,0,"hypothyroidism, after thyroid removal"
etonogestrel,337.29565,No ratings,0,systemic lupus erythematosus
varenicline,301.901,No ratings,0,systemic lupus erythematosus
suprep bowel prep kit,279.0385,No ratings,0,systemic lupus erythematosus
isotretinoin,243.32146,No ratings,0,systemic lupus erythematosus
mirena,240.16382,No ratings,0,systemic lupus erythematosus
implanon,233.18044,No ratings,0,systemic lupus erythematosus
levonorgestrel,217.42105,No ratings,0,systemic lupus erythematosus
ethinyl estradiol / levonorgestrel,208.92952,No ratings,0,systemic lupus erythematosus
chantix,207.90974,No ratings,0,systemic lupus erythematosus
ethinyl estradiol / norethindrone,205.89482,No ratings,0,systemic lupus erythematosus
etonogestrel,413.95972,No ratings,0,obstructive sleep apnea/hypopnea syndrome
varenicline,378.56506,No ratings,0,obstructive sleep apnea/hypopnea syndrome
suprep bowel prep kit,355.70258,No ratings,0,obstructive sleep apnea/hypopnea syndrome
isotretinoin,319.9855,No ratings,0,obstructive sleep apnea/hypopnea syndrome
mirena,316.82788,No ratings,0,obstructive sleep apnea/hypopnea syndrome
implanon,309.84448,No ratings,0,obstructive sleep apnea/hypopnea syndrome
levonorgestrel,294.08508,No ratings,0,obstructive sleep apnea/hypopnea syndrome
ethinyl estradiol / levonorgestrel,285.59357,No ratings,0,obstructive sleep apnea/hypopnea syndrome
chantix,284.5738,No ratings,0,obstructive sleep apnea/hypopnea syndrome
ethinyl estradiol / norethindrone,282.5589,No ratings,0,obstructive sleep apnea/hypopnea syndrome
etonogestrel,323.52286,No ratings,0,premature lab
varenicline,288.12817,No ratings,0,premature lab
suprep bowel prep kit,265.2657,No ratings,0,premature lab
isotretinoin,229.54866,No ratings,0,premature lab
mirena,226.39099,No ratings,0,premature lab
implanon,219.4076,No ratings,0,premature lab
levonorgestrel,203.64824,No ratings,0,premature lab
ethinyl estradiol / levonorgestrel,195.1567,No ratings,0,premature lab
chantix,194.13693,No ratings,0,premature lab
ethinyl estradiol / norethindrone,192.12201,No ratings,0,premature lab
etonogestrel,348.0733,No ratings,0,alopecia
varenicline,312.67865,No ratings,0,alopecia
suprep bowel prep kit,289.81616,No ratings,0,alopecia
isotretinoin,254.0991,No ratings,0,alopecia
mirena,250.94145,No ratings,0,alopecia
implanon,243.95807,No ratings,0,alopecia
levonorgestrel,228.1987,No ratings,0,alopecia
ethinyl estradiol / levonorgestrel,219.70717,No ratings,0,alopecia
chantix,218.68741,No ratings,0,alopecia
ethinyl estradiol / norethindrone,216.67247,No ratings,0,alopecia
etonogestrel,326.98962,No ratings,0,supraventricular tachycardia
varenicline,291.5949,No ratings,0,supraventricular tachycardia
suprep bowel prep kit,268.73242,No ratings,0,supraventricular tachycardia
isotretinoin,233.0154,No ratings,0,supraventricular tachycardia
mirena,229.85776,No ratings,0,supraventricular tachycardia
implanon,222.87434,No ratings,0,supraventricular tachycardia
levonorgestrel,207.115,No ratings,0,supraventricular tachycardia
ethinyl estradiol / levonorgestrel,198.62344,No ratings,0,supraventricular tachycardia
chantix,197.60368,No ratings,0,supraventricular tachycardia
ethinyl estradiol / norethindrone,195.58876,No ratings,0,supraventricular tachycardia
etonogestrel,242.09578,No ratings,0,cold symptoms
varenicline,206.7011,No ratings,0,cold symptoms
suprep bowel prep kit,183.83862,No ratings,0,cold symptoms
isotretinoin,148.12154,No ratings,0,cold symptoms
mirena,144.96388,No ratings,0,cold symptoms
implanon,137.98051,No ratings,0,cold symptoms
levonorgestrel,122.22113,No ratings,0,cold symptoms
ethinyl estradiol / levonorgestrel,114.07113,No ratings,0,cold symptoms
chantix,112.70983,No ratings,0,cold symptoms
ethinyl estradiol / norethindrone,111.08024,No ratings,0,cold symptoms
etonogestrel,235.28752,No ratings,0,dermatitis
varenicline,199.89285,No ratings,0,dermatitis
suprep bowel prep kit,177.03035,No ratings,0,dermatitis
isotretinoin,141.31331,No ratings,0,dermatitis
mirena,138.15565,No ratings,0,dermatitis
implanon,131.17226,No ratings,0,dermatitis
levonorgestrel,115.412895,No ratings,0,dermatitis
ethinyl estradiol / levonorgestrel,107.026245,No ratings,0,dermatitis
chantix,105.90159,No ratings,0,dermatitis
ethinyl estradiol / norethindrone,104.03537,No ratings,0,dermatitis
etonogestrel,333.7912,No ratings,0,moterol)
varenicline,298.39648,No ratings,0,moterol)
suprep bowel prep kit,275.534,No ratings,0,moterol)
isotretinoin,239.81697,No ratings,0,moterol)
mirena,236.65932,No ratings,0,moterol)
implanon,229.67593,No ratings,0,moterol)
levonorgestrel,213.91656,No ratings,0,moterol)
ethinyl estradiol / levonorgestrel,205.42503,No ratings,0,moterol)
chantix,204.40527,No ratings,0,moterol)
ethinyl estradiol / norethindrone,202.39034,No ratings,0,moterol)
etonogestrel,312.4467,No ratings,0,"asthma, acute"
varenicline,277.052,No ratings,0,"asthma, acute"
suprep bowel prep kit,254.18953,No ratings,0,"asthma, acute"
isotretinoin,218.47246,No ratings,0,"asthma, acute"
mirena,215.3148,No ratings,0,"asthma, acute"
implanon,208.3314,No ratings,0,"asthma, acute"
levonorgestrel,192.57205,No ratings,0,"asthma, acute"
ethinyl estradiol / levonorgestrel,184.0805,No ratings,0,"asthma, acute"
chantix,183.06075,No ratings,0,"asthma, acute"
ethinyl estradiol / norethindrone,181.04582,No ratings,0,"asthma, acute"
etonogestrel,288.63104,No ratings,0,head lice
varenicline,253.23637,No ratings,0,head lice
suprep bowel prep kit,230.3739,No ratings,0,head lice
isotretinoin,194.65685,No ratings,0,head lice
mirena,191.49918,No ratings,0,head lice
implanon,184.5158,No ratings,0,head lice
levonorgestrel,168.75642,No ratings,0,head lice
ethinyl estradiol / levonorgestrel,160.26488,No ratings,0,head lice
chantix,159.24513,No ratings,0,head lice
ethinyl estradiol / norethindrone,157.23021,No ratings,0,head lice
etonogestrel,324.81476,No ratings,0,kidney infections
varenicline,289.42007,No ratings,0,kidney infections
suprep bowel prep kit,266.5576,No ratings,0,kidney infections
isotretinoin,230.84053,No ratings,0,kidney infections
mirena,227.68289,No ratings,0,kidney infections
implanon,220.69951,No ratings,0,kidney infections
levonorgestrel,204.94014,No ratings,0,kidney infections
ethinyl estradiol / levonorgestrel,196.4486,No ratings,0,kidney infections
chantix,195.42883,No ratings,0,kidney infections
ethinyl estradiol / norethindrone,193.41391,No ratings,0,kidney infections
etonogestrel,315.5161,No ratings,0,alzheimer's disease
varenicline,280.1214,No ratings,0,alzheimer's disease
suprep bowel prep kit,257.25897,No ratings,0,alzheimer's disease
isotretinoin,221.54189,No ratings,0,alzheimer's disease
mirena,218.38426,No ratings,0,alzheimer's disease
implanon,211.40086,No ratings,0,alzheimer's disease
levonorgestrel,195.6415,No ratings,0,alzheimer's disease
ethinyl estradiol / levonorgestrel,187.14996,No ratings,0,alzheimer's disease
chantix,186.1302,No ratings,0,alzheimer's disease
ethinyl estradiol / norethindrone,184.11528,No ratings,0,alzheimer's disease
etonogestrel,155.87303,No ratings,0,1</span> users found this comment helpful.
varenicline,120.478325,No ratings,0,1</span> users found this comment helpful.
suprep bowel prep kit,97.615845,No ratings,0,1</span> users found this comment helpful.
isotretinoin,62.002983,No ratings,0,1</span> users found this comment helpful.
mirena,59.29067,No ratings,0,1</span> users found this comment helpful.
implanon,52.021824,4.0,1,1</span> users found this comment helpful.
levonorgestrel,37.561703,No ratings,0,1</span> users found this comment helpful.
ethinyl estradiol / levonorgestrel,30.97059,No ratings,0,1</span> users found this comment helpful.
chantix,30.191595,No ratings,0,1</span> users found this comment helpful.
ethinyl estradiol / norethindrone,28.920908,No ratings,0,1</span> users found this comment helpful.
etonogestrel,304.9663,No ratings,0,muscle pain
varenicline,269.57162,No ratings,0,muscle pain
suprep bowel prep kit,246.70917,No ratings,0,muscle pain
isotretinoin,210.99211,No ratings,0,muscle pain
mirena,207.83446,No ratings,0,muscle pain
implanon,200.85107,No ratings,0,muscle pain
levonorgestrel,185.0917,No ratings,0,muscle pain
ethinyl estradiol / levonorgestrel,176.60016,No ratings,0,muscle pain
chantix,175.5804,No ratings,0,muscle pain
ethinyl estradiol / norethindrone,173.56548,No ratings,0,muscle pain
etonogestrel,383.07843,No ratings,0,anorexia
varenicline,347.68372,No ratings,0,anorexia
suprep bowel prep kit,324.82126,No ratings,0,anorexia
isotretinoin,289.1042,No ratings,0,anorexia
mirena,285.94653,No ratings,0,anorexia
implanon,278.96317,No ratings,0,anorexia
levonorgestrel,263.2038,No ratings,0,anorexia
ethinyl estradiol / levonorgestrel,254.71227,No ratings,0,anorexia
chantix,253.6925,No ratings,0,anorexia
ethinyl estradiol / norethindrone,251.67758,No ratings,0,anorexia
etonogestrel,294.88666,No ratings,0,autism
varenicline,259.49194,No ratings,0,autism
suprep bowel prep kit,236.6295,No ratings,0,autism
isotretinoin,200.91243,No ratings,0,autism
mirena,197.75479,No ratings,0,autism
implanon,190.7714,No ratings,0,autism
levonorgestrel,175.01201,No ratings,0,autism
ethinyl estradiol / levonorgestrel,166.5205,No ratings,0,autism
chantix,165.50073,No ratings,0,autism
ethinyl estradiol / norethindrone,163.48582,No ratings,0,autism
etonogestrel,326.22784,No ratings,0,rhinitis
varenicline,290.83316,No ratings,0,rhinitis
suprep bowel prep kit,267.9707,No ratings,0,rhinitis
isotretinoin,232.25362,No ratings,0,rhinitis
mirena,229.09598,No ratings,0,rhinitis
implanon,222.1126,No ratings,0,rhinitis
levonorgestrel,206.35323,No ratings,0,rhinitis
ethinyl estradiol / levonorgestrel,197.86168,No ratings,0,rhinitis
chantix,196.84193,No ratings,0,rhinitis
ethinyl estradiol / norethindrone,194.82701,No ratings,0,rhinitis
etonogestrel,327.65402,No ratings,0,neuralgia
varenicline,292.25934,No ratings,0,neuralgia
suprep bowel prep kit,269.39685,No ratings,0,neuralgia
isotretinoin,233.67981,No ratings,0,neuralgia
mirena,230.52217,No ratings,0,neuralgia
implanon,223.53879,No ratings,0,neuralgia
levonorgestrel,207.77942,No ratings,0,neuralgia
ethinyl estradiol / levonorgestrel,199.28787,No ratings,0,neuralgia
chantix,198.26811,No ratings,0,neuralgia
ethinyl estradiol / norethindrone,196.25319,No ratings,0,neuralgia
etonogestrel,318.74713,No ratings,0,renal cell carcinoma
